Year,Region/Country/Area,All staff compensation as % of total expenditure in public institutions (%),Basic access to computers by level of education: Lower secondary,Basic access to computers by level of education: Primary,Basic access to computers by level of education: Upper secondary,Capital expenditure as % of total expenditure in public institutions (%),Current expenditure other than staff compensation as % of total expenditure in public institutions (%),Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),Ratio of girls to boys in lower secondary education,Ratio of girls to boys in primary education,Ratio of girls to boys in upper secondary education,Teachers at lower secondary level,Teachers at primary level,Teachers at upper secondary level,Teachers with minimum required qualifications at lower secondary level,Teachers with minimum required qualifications at primary level,Teachers with minimum required qualifications at upper secondary level
2010,410,0.0,100.0,100.0,100.0,0.0,0.0,99.9,100.1,100.7,100.9,94.8,94.6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
2010,428,65.7,0.0,0.0,0.0,12.7,21.6,104.0,108.2,101.9,103.9,100.7,100.0,64.0,114.0,83.0,0.96,0.98,1.01,0.0,0.0,0.0,100.0,100.0,100.0
2010,440,72.9,0.0,0.0,0.0,7.6,19.5,102.3,105.6,99.8,101.0,108.3,106.8,238.0,122.0,105.0,0.97,0.99,1.01,0.0,0.0,0.0,0.0,94.8,0.0
2010,446,39.0,0.0,0.0,0.0,41.5,19.5,102.6,107.2,99.6,102.7,82.1,76.8,20.0,25.0,18.0,0.96,0.97,1.06,0.0,0.0,0.0,69.8,84.7,72.7
2010,470,72.4,0.0,0.0,0.0,10.1,17.5,105.6,108.7,102.0,103.2,86.6,113.5,26.0,25.0,11.0,0.97,0.99,0.76,0.0,0.0,0.0,0.0,0.0,0.0
2010,484,85.7,0.0,0.0,0.0,3.9,10.3,118.4,108.8,110.2,111.7,62.7,59.0,0.0,0.0,0.0,1.08,0.99,1.06,0.0,0.0,0.0,89.8,95.6,92.8
2010,498,62.6,0.0,0.0,0.0,8.2,29.1,88.2,89.5,93.3,93.7,90.7,81.9,208.0,141.0,100.0,0.99,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0
2010,616,61.4,100.0,100.0,100.0,9.3,29.3,99.4,102.1,98.2,99.0,99.8,99.6,0.0,0.0,0.0,0.97,0.99,1.0,0.0,0.0,0.0,98.7,99.3,98.4
2010,620,84.1,100.0,100.0,100.0,3.8,12.1,113.7,115.8,108.1,111.3,104.5,96.6,379.0,734.0,341.0,0.98,0.97,1.08,0.0,0.0,0.0,0.0,100.0,0.0
2010,642,62.2,0.0,0.0,0.0,10.8,27.1,97.8,98.9,99.5,100.5,105.8,107.1,869.0,842.0,953.0,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0
2010,674,95.8,0.0,0.0,0.0,0.0,4.2,90.4,94.7,98.4,87.9,98.0,90.8,1.0,2.0,1.0,0.96,1.11,1.07,161.0,244.0,0.0,0.0,0.0,0.0
2010,703,57.0,0.0,0.0,0.0,12.2,30.8,95.4,96.7,101.5,101.8,95.1,92.0,280.0,212.0,269.0,0.99,1.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0
2010,705,70.0,100.0,100.0,100.0,8.7,21.3,95.3,95.6,98.1,98.0,100.0,101.3,55.0,107.0,83.0,1.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0
2010,724,71.6,100.0,100.0,100.0,10.8,17.7,118.0,119.4,100.9,101.5,135.5,124.6,0.0,0.0,0.0,0.99,0.99,1.08,0.0,0.0,0.0,100.0,100.0,100.0
2010,752,63.1,0.0,0.0,0.0,5.6,31.3,101.8,103.0,99.0,99.4,101.7,102.6,337.0,576.0,394.0,0.99,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0
2010,826,58.8,0.0,0.0,0.0,11.4,29.8,107.5,111.4,105.4,106.0,100.9,97.3,0.0,0.0,0.0,0.96,0.99,1.04,0.0,0.0,0.0,0.0,0.0,0.0
2015,8,79.5,0.0,0.0,0.0,8.1,12.5,105.5,108.6,111.5,115.0,91.5,105.3,175.0,188.0,140.0,0.97,0.97,0.87,0.0,0.0,0.0,0.0,0.0,0.0
