Region/Country/Area,"Enrollment in primary, lower secondary and upper secondary education levels",Year,Series,Value,Footnotes,Source
15,Northern Africa,2015,Gross enrollment ratio - Primary (male),97.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2015,Gross enrollment ratio - Primary (female),93.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2015,Students enrolled in lower secondary education (thousands),"11,666",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2015,Gross enrollment ratio - Lower secondary level (male),96.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2015,Gross enrollment ratio - Lower secondary level (female),91.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2015,Students enrolled in upper secondary education (thousands),"7,532",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2015,Gross enrollment ratio - Upper secondary level (male),58.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2015,Gross enrollment ratio - Upper secondary level (female),62.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2022,Students enrolled in primary education (thousands),"31,383",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2022,Gross enrollment ratio - Primary (male),95.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2022,Gross enrollment ratio - Primary (female),93.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2022,Students enrolled in lower secondary education (thousands),"14,950",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2022,Gross enrollment ratio - Lower secondary level (male),97.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2022,Gross enrollment ratio - Lower secondary level (female),92.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2022,Students enrolled in upper secondary education (thousands),"9,179",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2022,Gross enrollment ratio - Upper secondary level (male),64.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2022,Gross enrollment ratio - Upper secondary level (female),69.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Students enrolled in primary education (thousands),"113,432",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Primary (male),99.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Primary (female),87.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Students enrolled in lower secondary education (thousands),"20,727",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Lower secondary level (male),42.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Lower secondary level (female),33.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Students enrolled in upper secondary education (thousands),"11,200",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Upper secondary level (male),26.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Upper secondary level (female),20.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Students enrolled in primary education (thousands),"135,997",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Primary (male),101.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Primary (female),93.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Students enrolled in lower secondary education (thousands),"28,640",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Lower secondary level (male),50.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Lower secondary level (female),42.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Students enrolled in upper secondary education (thousands),"16,019",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Upper secondary level (male),34.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Upper secondary level (female),26.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Students enrolled in primary education (thousands),"157,266",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Primary (male),100.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
