Year,Region/Country/Area,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands)
2015,20,92.2,97.7,88.2,89.6,91.6,83.8,3.0,4.0,1.0
2015,36,117.2,132.3,101.6,101.7,207.0,243.9,0.0,0.0,0.0
2015,40,100.6,100.8,100.4,101.7,98.8,105.1,334.0,328.0,358.0
2015,53,114.6,127.1,101.2,101.2,190.3,214.4,0.0,0.0,0.0
2015,56,188.0,177.2,102.3,102.2,168.4,142.4,445.0,783.0,773.0
2015,70,88.5,90.2,90.7,91.6,79.3,76.7,134.0,163.0,144.0
2015,100,117.2,122.5,98.3,99.2,87.3,89.2,224.0,262.0,278.0
2015,112,93.2,95.0,95.3,96.8,103.0,108.9,445.0,387.0,200.0
2015,124,100.4,101.1,99.5,100.1,123.5,121.4,0.0,0.0,0.0
2015,156,,,97.8,96.6,89.0,83.1,0.0,0.0,0.0
2015,191,110.7,106.5,99.0,98.5,96.5,91.7,179.0,162.0,182.0
2015,196,99.2,100.0,99.3,99.3,99.6,100.3,27.0,54.0,30.0
2015,203,100.1,99.7,97.1,96.8,110.7,108.9,370.0,535.0,400.0
2015,208,118.7,118.9,100.4,101.4,153.2,143.7,242.0,469.0,312.0
2015,233,101.9,104.0,96.8,97.0,116.3,112.6,37.0,80.0,41.0
2015,246,101.2,101.6,99.3,99.8,212.6,184.9,178.0,355.0,362.0
2015,250,100.5,101.0,101.7,102.3,108.6,105.4,0.0,0.0,0.0
2015,268,107.8,111.9,105.8,109.4,103.1,102.3,139.0,289.0,138.0
2015,276,100.0,102.1,102.4,102.9,98.4,109.8,0.0,0.0,0.0
2015,308,97.3,106.4,101.6,106.7,106.1,94.4,5.0,13.0,4.0
2015,344,108.9,112.1,104.0,106.2,102.7,107.0,183.0,333.0,211.0
2015,348,99.2,100.5,100.6,101.0,110.3,107.7,385.0,396.0,441.0
2015,352,98.4,99.1,98.9,98.5,136.4,133.6,13.0,30.0,24.0
2015,356,90.0,86.8,105.3,103.2,62.9,66.2,0.0,0.0,0.0
2015,372,103.8,103.4,101.0,101.4,141.5,133.7,190.0,545.0,165.0
2015,380,103.1,105.8,100.2,100.6,99.0,99.5,0.0,0.0,0.0
2015,392,101.6,101.7,102.3,102.6,103.0,102.5,0.0,0.0,0.0
2015,410,100.9,101.6,99.9,100.2,96.2,96.4,0.0,0.0,0.0
2015,428,101.5,104.4,99.4,99.4,121.4,122.9,55.0,117.0,62.0
2015,438,94.1,101.9,104.8,106.5,110.9,167.5,2.0,2.0,2.0
2015,440,102.0,106.0,101.9,102.2,114.0,119.6,183.0,108.0,81.0
2015,442,114.5,113.6,97.6,97.2,100.4,94.4,22.0,36.0,25.0
2015,446,107.2,110.9,101.8,98.0,97.6,92.2,14.0,24.0,16.0
2015,470,102.0,102.9,101.6,99.1,94.8,86.2,13.0,25.0,17.0
2015,484,135.5,123.6,106.6,107.4,73.4,71.4,0.0,0.0,0.0
2015,492,,,,,,,2.0,2.0,1.0
2015,498,105.9,105.8,105.2,106.3,105.6,101.2,162.0,139.0,71.0
2015,499,93.8,96.6,97.1,99.7,86.1,88.4,31.0,38.0,29.0
2015,528,97.8,58.9,105.6,106.5,138.0,129.4,816.0,0.0,797.0
2015,554,101.8,102.3,98.5,98.6,138.8,123.9,242.0,368.0,245.0
2015,578,103.7,102.4,99.3,99.4,123.0,130.7,195.0,431.0,249.0
2015,616,98.5,101.8,,,115.8,119.8,0.0,,0.0
2015,620,115.0,117.6,105.0,108.9,117.8,117.0,385.0,657.0,394.0
2015,642,86.8,98.9,83.5,94.5,85.9,94.0,785.0,947.0,778.0
2015,643,96.3,95.1,100.0,99.2,102.0,112.8,0.0,0.0,0.0
2015,674,96.0,95.9,95.9,92.6,94.0,95.8,1.0,2.0,2.0
2015,688,101.1,101.7,102.1,102.3,94.6,91.2,290.0,279.0,263.0
2015,703,96.1,96.8,98.3,98.3,88.6,85.0,254.0,216.0,200.0
2015,705,98.6,98.6,98.3,98.4,118.4,117.2,55.0,116.0,89.0
2015,724,117.7,121.9,102.9,101.5,132.5,127.8,0.0,0.0,0.0
2015,752,113.3,108.0,122.1,117.3,179.7,148.5,334.0,792.0,510.0
2015,756,107.1,107.4,101.9,102.4,98.8,104.2,262.0,490.0,353.0
2015,804,92.6,91.6,88.7,87.1,83.2,89.8,0.0,0.0,656.0
2015,826,109.7,112.9,99.8,99.8,140.6,131.2,0.0,0.0,0.0
2015,840,100.7,100.4,100.3,100.3,95.6,93.9,0.0,0.0,0.0
2016,308,105.7,107.9,97.8,102.3,101.0,90.7,6.0,13.0,4.0
2016,492,157.6,156.4,147.3,141.8,146.2,155.0,2.0,2.0,1.0
2020,308,,,,,,,6.0,,3.0
2021,56,154.7,149.9,101.8,101.8,148.4,128.9,413.0,818.0,719.0
2021,100,93.8,94.4,87.2,87.4,84.9,88.8,199.0,238.0,278.0
2021,124,103.4,104.4,95.9,96.7,115.1,114.7,0.0,0.0,0.0
2021,191,113.0,107.2,96.1,95.8,98.5,93.1,177.0,152.0,149.0
2021,196,103.7,104.5,99.2,99.0,99.5,102.3,29.0,59.0,28.0
2021,203,96.4,96.2,99.8,99.9,105.8,103.6,457.0,564.0,413.0
2021,276,99.1,100.8,101.4,101.3,96.0,110.8,0.0,0.0,0.0
2021,308,,,80.3,86.4,90.9,88.6,,12.0,3.0
2021,348,97.5,98.4,101.1,101.8,101.6,101.2,390.0,368.0,393.0
2021,352,98.5,99.0,98.6,98.5,124.1,131.6,14.0,33.0,23.0
2021,372,109.1,107.0,100.6,99.4,192.5,164.1,219.0,557.0,230.0
2021,380,102.1,103.8,101.2,102.0,101.4,102.5,0.0,0.0,0.0
2021,392,100.9,101.0,102.2,102.2,103.7,103.0,0.0,0.0,0.0
2021,438,99.7,103.1,100.8,103.3,121.0,160.7,2.0,2.0,2.0
2021,440,105.8,106.7,101.3,101.5,115.6,121.9,168.0,117.0,60.0
2021,442,111.1,118.6,98.5,98.4,104.6,95.8,23.0,41.0,26.0
2021,528,96.1,75.5,104.1,104.7,140.3,131.3,754.0,0.0,839.0
2021,554,102.2,102.6,98.1,97.8,146.8,132.1,276.0,385.0,263.0
2021,578,106.2,102.8,99.0,98.9,129.6,140.9,201.0,444.0,256.0
2021,620,111.5,114.5,104.4,105.4,125.7,121.2,343.0,583.0,394.0
2021,642,83.1,84.8,90.2,91.3,89.8,87.2,713.0,877.0,730.0
2021,724,111.4,111.7,103.1,102.7,132.0,122.3,0.0,0.0,0.0
2021,804,87.3,85.8,91.6,90.8,78.5,79.8,0.0,0.0,632.0
2022,8,91.4,98.2,92.7,98.5,91.4,101.9,124.0,154.0,103.0
2022,20,94.0,96.7,89.9,90.4,103.7,100.0,3.0,4.0,2.0
2022,36,107.5,110.5,99.2,99.0,180.0,190.0,0.0,0.0,0.0
2022,40,100.6,101.2,100.4,101.1,100.3,103.6,343.0,348.0,351.0
2022,53,106.7,109.6,99.8,99.5,178.1,179.7,0.0,0.0,0.0
2022,70,87.7,89.7,87.2,88.4,83.3,80.3,121.0,144.0,108.0
2022,112,91.6,94.8,92.9,96.5,95.3,101.1,517.0,452.0,194.0
2022,156,,,101.0,99.4,91.1,88.1,0.0,0.0,0.0
2022,208,118.7,118.6,99.9,100.6,140.6,143.4,245.0,436.0,292.0
2022,233,102.6,103.9,99.1,99.5,128.7,117.9,47.0,88.0,49.0
2022,246,102.0,102.5,98.4,98.8,205.9,172.1,191.0,367.0,343.0
2022,250,100.7,100.8,102.4,102.9,109.6,108.5,0.0,0.0,0.0
2022,268,92.2,95.2,104.8,104.3,112.7,118.0,140.0,346.0,149.0
2022,292,127.6,133.1,129.4,125.1,52.4,60.6,1.0,3.0,1.0
2022,344,104.0,106.6,99.9,102.2,97.0,100.1,178.0,353.0,161.0
2022,356,92.9,90.9,110.8,111.3,71.3,75.2,0.0,0.0,0.0
2022,410,99.6,99.6,98.9,99.2,95.7,96.7,0.0,0.0,0.0
2022,428,100.2,101.1,99.5,99.4,110.8,108.1,63.0,119.0,61.0
2022,446,92.5,98.2,87.1,83.1,86.3,83.2,16.0,37.0,13.0
2022,470,99.5,101.9,93.6,93.5,105.7,103.0,14.0,27.0,18.0
2022,484,125.9,111.0,102.1,101.9,83.8,73.2,0.0,0.0,0.0
2022,492,,,,,,,2.0,2.0,2.0
2022,498,103.8,104.4,106.0,107.0,83.7,82.6,161.0,138.0,69.0
2022,499,96.2,97.7,100.7,100.7,86.4,84.0,31.0,38.0,25.0
2022,528,,70.0,,,,,,,
2022,616,95.4,96.9,99.9,100.3,111.3,113.3,0.0,0.0,0.0
2022,643,110.9,117.0,101.7,102.2,48.4,43.3,0.0,0.0,0.0
2022,674,95.0,96.2,99.1,96.6,36.1,44.6,1.0,2.0,1.0
2022,688,94.4,94.1,89.5,88.8,88.7,84.6,257.0,254.0,246.0
2022,703,95.8,96.4,100.4,100.2,88.9,85.1,274.0,233.0,183.0
2022,705,97.9,97.3,100.3,101.0,118.3,115.4,65.0,133.0,90.0
2022,752,114.6,108.7,120.4,112.7,185.0,153.0,413.0,878.0,596.0
2022,756,102.8,102.9,101.3,101.4,100.5,106.9,267.0,539.0,350.0
2022,804,,,,,,,0.0,0.0,
2022,826,110.5,110.8,98.6,98.5,116.3,109.7,0.0,0.0,0.0
2022,840,99.7,99.6,97.0,97.0,97.6,93.1,0.0,0.0,0.0
